date,asset_a_return,asset_b_return,asset_c_return
2025-04-28,-0.00230000,-0.00240000,0.00310000
2025-04-29,0.00225000,0.00310000,0.00070000
2025-04-30,0.00680000,-0.00290000,-0.00170000
2025-05-01,-0.00100000,0.00260000,-0.00410000
2025-05-02,0.00355000,-0.00340000,0.00370000
2025-05-05,-0.00425000,0.00210000,0.00130000
2025-05-06,0.02130000,0.02210000,0.01390000
2025-05-07,0.00485000,0.00160000,-0.00350000
2025-05-08,-0.00370000,-0.00490000,0.00375000
2025-05-09,0.00085000,0.00060000,0.00135000
2025-05-12,0.00540000,-0.00540000,-0.00105000
2025-05-13,-0.00240000,0.00010000,-0.00345000
2025-05-14,0.00215000,0.00560000,0.00435000
2025-05-15,-0.00565000,-0.00040000,0.00195000
2025-05-16,-0.00110000,0.00510000,-0.00045000
2025-05-19,0.00345000,-0.00090000,-0.00285000
2025-05-20,-0.00435000,0.00460000,0.00495000
2025-05-21,0.00020000,-0.00140000,0.00255000
2025-05-22,0.00475000,0.00410000,0.00015000
2025-05-23,-0.00305000,-0.00190000,-0.00225000
2025-05-26,0.00150000,0.00360000,-0.00465000
2025-05-27,-0.00595000,-0.00840000,-0.00685000
2025-05-28,-0.00175000,0.00310000,0.00075000
2025-05-29,0.00280000,-0.00290000,-0.00165000
2025-05-30,-0.00500000,0.00260000,-0.00405000
2025-06-02,-0.00045000,-0.00340000,0.00375000
2025-06-03,0.00410000,0.00210000,0.00135000
2025-06-04,-0.00370000,-0.00390000,-0.00105000
2025-06-05,0.00085000,0.00160000,-0.00345000
2025-06-06,0.00540000,-0.00440000,0.00435000
2025-06-09,-0.00240000,0.00110000,0.00195000
2025-06-10,0.00215000,-0.00490000,-0.00045000
2025-06-11,-0.00565000,0.00060000,-0.00285000
2025-06-12,-0.00110000,-0.00540000,0.00495000
2025-06-13,0.00345000,0.00010000,0.00255000
2025-06-16,-0.00435000,0.00560000,0.00015000
2025-06-17,0.00020000,-0.00040000,-0.00225000
2025-06-18,0.00475000,0.00510000,-0.00465000
