observation_id,condition_code,replicate,item_id,submission_state,correct
E4V3-T3-K1-P2,M0R1,1,11,accepted,True
E4V3-T3-K1-P2,M0R1,1,12,accepted,True
E4V3-T3-K1-P2,M0R1,1,13,accepted,True
E4V3-T3-K1-P2,M0R1,1,14,accepted,False
E4V3-T3-K1-P2,M0R1,1,15,accepted,False
E4V3-T3-K1-P2,M0R1,1,16,accepted,True
E4V3-T3-K1-P2,M0R1,1,17,accepted,False
E4V3-T3-K1-P2,M0R1,1,18,accepted,True
E4V3-T3-K1-P2,M0R1,1,19,not_attempted,False
E4V3-T3-K1-P2,M0R1,1,20,not_attempted,False
E4V3-T3-K1-P2,M0R1,1,21,not_attempted,False
E4V3-T3-K1-P2,M0R1,1,22,not_attempted,False
E4V3-T3-K1-P2,M0R1,1,23,not_attempted,False
E4V3-T3-K1-P2,M0R1,1,24,not_attempted,False
E4V3-T3-K1-P2,M0R1,1,25,not_attempted,False
E4V3-T3-K1-P3,M1R1,1,1,accepted,True
E4V3-T3-K1-P3,M1R1,1,2,accepted,True
E4V3-T3-K1-P3,M1R1,1,3,accepted,False
E4V3-T3-K1-P3,M1R1,1,4,accepted,False
E4V3-T3-K1-P3,M1R1,1,5,accepted,True
E4V3-T3-K1-P3,M1R1,1,6,accepted,True
E4V3-T3-K1-P3,M1R1,1,7,accepted,False
E4V3-T3-K1-P3,M1R1,1,8,accepted,False
E4V3-T3-K1-P3,M1R1,1,9,accepted,False
E4V3-T3-K1-P3,M1R1,1,10,accepted,False
E4V3-T3-K1-P3,M1R1,1,11,accepted,True
E4V3-T3-K1-P3,M1R1,1,12,accepted,True
E4V3-T3-K1-P3,M1R1,1,13,accepted,True
E4V3-T3-K1-P3,M1R1,1,14,accepted,True
E4V3-T3-K1-P3,M1R1,1,15,accepted,True
E4V3-T3-K1-P3,M1R1,1,16,accepted,True
E4V3-T3-K1-P3,M1R1,1,17,accepted,False
E4V3-T3-K1-P3,M1R1,1,18,accepted,True
E4V3-T3-K1-P3,M1R1,1,19,accepted,True
E4V3-T3-K1-P3,M1R1,1,20,accepted,True
E4V3-T3-K1-P3,M1R1,1,21,accepted,True
E4V3-T3-K1-P3,M1R1,1,22,accepted,True
E4V3-T3-K1-P3,M1R1,1,23,accepted,True
E4V3-T3-K1-P3,M1R1,1,24,accepted,True
E4V3-T3-K1-P3,M1R1,1,25,accepted,False
E4V3-T3-K1-P4,M1R0,1,1,accepted,True
E4V3-T3-K1-P4,M1R0,1,2,accepted,True
E4V3-T3-K1-P4,M1R0,1,3,accepted,True
E4V3-T3-K1-P4,M1R0,1,4,accepted,True
E4V3-T3-K1-P4,M1R0,1,5,accepted,True
E4V3-T3-K1-P4,M1R0,1,6,accepted,True
E4V3-T3-K1-P4,M1R0,1,7,accepted,True
E4V3-T3-K1-P4,M1R0,1,8,accepted,True
E4V3-T3-K1-P4,M1R0,1,9,accepted,True
E4V3-T3-K1-P4,M1R0,1,10,accepted,True
E4V3-T3-K1-P4,M1R0,1,11,accepted,True
E4V3-T3-K1-P4,M1R0,1,12,accepted,True
E4V3-T3-K1-P4,M1R0,1,13,accepted,True
E4V3-T3-K1-P4,M1R0,1,14,accepted,False
E4V3-T3-K1-P4,M1R0,1,15,accepted,False
E4V3-T3-K1-P4,M1R0,1,16,accepted,True
E4V3-T3-K1-P4,M1R0,1,17,accepted,False
E4V3-T3-K1-P4,M1R0,1,18,accepted,True
E4V3-T3-K1-P4,M1R0,1,19,accepted,True
E4V3-T3-K1-P4,M1R0,1,20,accepted,True
E4V3-T3-K1-P4,M1R0,1,21,accepted,True
E4V3-T3-K1-P4,M1R0,1,22,accepted,True
E4V3-T3-K1-P4,M1R0,1,23,accepted,True
E4V3-T3-K1-P4,M1R0,1,24,accepted,True
E4V3-T3-K1-P4,M1R0,1,25,accepted,False
E4V3-T3-K10-P1,M0R1,10,1,accepted,True
E4V3-T3-K10-P1,M0R1,10,2,accepted,True
E4V3-T3-K10-P1,M0R1,10,3,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,4,accepted,True
E4V3-T3-K10-P1,M0R1,10,5,accepted,True
E4V3-T3-K10-P1,M0R1,10,6,accepted,True
E4V3-T3-K10-P1,M0R1,10,7,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,8,accepted,True
E4V3-T3-K10-P1,M0R1,10,9,accepted,True
E4V3-T3-K10-P1,M0R1,10,10,accepted,True
E4V3-T3-K10-P1,M0R1,10,11,accepted,True
E4V3-T3-K10-P1,M0R1,10,12,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,13,accepted,True
E4V3-T3-K10-P1,M0R1,10,14,accepted,False
E4V3-T3-K10-P1,M0R1,10,15,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,16,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,17,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,18,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,19,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,20,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,21,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,22,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,23,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,24,not_attempted,False
E4V3-T3-K10-P1,M0R1,10,25,not_attempted,False
E4V3-T3-K10-P2,M1R0,10,1,accepted,True
E4V3-T3-K10-P2,M1R0,10,2,accepted,True
E4V3-T3-K10-P2,M1R0,10,3,accepted,False
E4V3-T3-K10-P2,M1R0,10,4,accepted,True
E4V3-T3-K10-P2,M1R0,10,5,accepted,True
E4V3-T3-K10-P2,M1R0,10,6,accepted,True
E4V3-T3-K10-P2,M1R0,10,7,accepted,False
E4V3-T3-K10-P2,M1R0,10,8,accepted,True
E4V3-T3-K10-P2,M1R0,10,9,accepted,True
E4V3-T3-K10-P2,M1R0,10,10,accepted,True
E4V3-T3-K10-P2,M1R0,10,11,accepted,True
E4V3-T3-K10-P2,M1R0,10,12,accepted,True
E4V3-T3-K10-P2,M1R0,10,13,accepted,True
E4V3-T3-K10-P2,M1R0,10,14,accepted,False
E4V3-T3-K10-P2,M1R0,10,15,accepted,False
E4V3-T3-K10-P2,M1R0,10,16,accepted,True
E4V3-T3-K10-P2,M1R0,10,17,accepted,False
E4V3-T3-K10-P2,M1R0,10,18,accepted,True
E4V3-T3-K10-P2,M1R0,10,19,accepted,True
E4V3-T3-K10-P2,M1R0,10,20,accepted,True
E4V3-T3-K10-P2,M1R0,10,21,accepted,True
E4V3-T3-K10-P2,M1R0,10,22,accepted,True
E4V3-T3-K10-P2,M1R0,10,23,accepted,True
E4V3-T3-K10-P2,M1R0,10,24,accepted,True
E4V3-T3-K10-P2,M1R0,10,25,accepted,False
E4V3-T3-K10-P3,M0R0,10,1,accepted,True
E4V3-T3-K10-P3,M0R0,10,2,accepted,True
E4V3-T3-K10-P3,M0R0,10,3,accepted,False
E4V3-T3-K10-P3,M0R0,10,4,accepted,False
E4V3-T3-K10-P3,M0R0,10,5,accepted,True
E4V3-T3-K10-P3,M0R0,10,6,accepted,True
E4V3-T3-K10-P3,M0R0,10,7,accepted,False
E4V3-T3-K10-P3,M0R0,10,8,accepted,False
E4V3-T3-K10-P3,M0R0,10,9,accepted,False
E4V3-T3-K10-P3,M0R0,10,10,accepted,False
E4V3-T3-K10-P3,M0R0,10,11,accepted,False
E4V3-T3-K10-P3,M0R0,10,12,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,13,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,14,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,15,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,16,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,17,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,18,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,19,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,20,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,21,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,22,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,23,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,24,not_attempted,False
E4V3-T3-K10-P3,M0R0,10,25,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,1,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,2,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,3,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,4,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,5,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,6,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,7,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,8,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,9,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,10,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,11,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,12,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,13,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,14,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,15,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,16,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,17,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,18,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,19,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,20,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,21,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,22,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,23,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,24,not_attempted,False
E4V3-T3-K10-P4,M1R1,10,25,not_attempted,False
E4V3-T3-K11-P1,M1R0,11,1,accepted,True
E4V3-T3-K11-P1,M1R0,11,2,accepted,True
E4V3-T3-K11-P1,M1R0,11,3,accepted,True
E4V3-T3-K11-P1,M1R0,11,4,accepted,True
E4V3-T3-K11-P1,M1R0,11,5,accepted,True
E4V3-T3-K11-P1,M1R0,11,6,accepted,True
E4V3-T3-K11-P1,M1R0,11,7,accepted,True
E4V3-T3-K11-P1,M1R0,11,8,accepted,True
E4V3-T3-K11-P1,M1R0,11,9,accepted,True
E4V3-T3-K11-P1,M1R0,11,10,accepted,True
E4V3-T3-K11-P1,M1R0,11,11,accepted,True
E4V3-T3-K11-P1,M1R0,11,12,accepted,False
E4V3-T3-K11-P1,M1R0,11,13,accepted,True
E4V3-T3-K11-P1,M1R0,11,14,accepted,False
E4V3-T3-K11-P1,M1R0,11,15,accepted,False
E4V3-T3-K11-P1,M1R0,11,16,accepted,True
E4V3-T3-K11-P1,M1R0,11,17,accepted,True
E4V3-T3-K11-P1,M1R0,11,18,accepted,True
E4V3-T3-K11-P1,M1R0,11,19,accepted,True
E4V3-T3-K11-P1,M1R0,11,20,accepted,True
E4V3-T3-K11-P1,M1R0,11,21,accepted,True
E4V3-T3-K11-P1,M1R0,11,22,accepted,True
E4V3-T3-K11-P1,M1R0,11,23,accepted,True
E4V3-T3-K11-P1,M1R0,11,24,accepted,True
E4V3-T3-K11-P1,M1R0,11,25,accepted,True
E4V3-T3-K11-P2,M1R1,11,1,accepted,True
E4V3-T3-K11-P2,M1R1,11,2,accepted,True
E4V3-T3-K11-P2,M1R1,11,3,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,4,accepted,True
E4V3-T3-K11-P2,M1R1,11,5,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,6,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,7,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,8,accepted,True
E4V3-T3-K11-P2,M1R1,11,9,accepted,True
E4V3-T3-K11-P2,M1R1,11,10,accepted,True
E4V3-T3-K11-P2,M1R1,11,11,accepted,True
E4V3-T3-K11-P2,M1R1,11,12,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,13,accepted,True
E4V3-T3-K11-P2,M1R1,11,14,accepted,False
E4V3-T3-K11-P2,M1R1,11,15,accepted,False
E4V3-T3-K11-P2,M1R1,11,16,accepted,True
E4V3-T3-K11-P2,M1R1,11,17,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,18,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,19,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,20,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,21,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,22,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,23,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,24,not_attempted,False
E4V3-T3-K11-P2,M1R1,11,25,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,1,accepted,True
E4V3-T3-K11-P3,M0R1,11,2,accepted,False
E4V3-T3-K11-P3,M0R1,11,3,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,4,accepted,True
E4V3-T3-K11-P3,M0R1,11,5,accepted,True
E4V3-T3-K11-P3,M0R1,11,6,accepted,False
E4V3-T3-K11-P3,M0R1,11,7,accepted,False
E4V3-T3-K11-P3,M0R1,11,8,accepted,True
E4V3-T3-K11-P3,M0R1,11,9,accepted,True
E4V3-T3-K11-P3,M0R1,11,10,accepted,True
E4V3-T3-K11-P3,M0R1,11,11,accepted,True
E4V3-T3-K11-P3,M0R1,11,12,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,13,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,14,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,15,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,16,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,17,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,18,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,19,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,20,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,21,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,22,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,23,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,24,not_attempted,False
E4V3-T3-K11-P3,M0R1,11,25,not_attempted,False
E4V3-T3-K11-P4,M0R0,11,1,accepted,True
E4V3-T3-K11-P4,M0R0,11,2,accepted,True
E4V3-T3-K11-P4,M0R0,11,3,accepted,True
E4V3-T3-K11-P4,M0R0,11,4,accepted,True
E4V3-T3-K11-P4,M0R0,11,5,accepted,True
E4V3-T3-K11-P4,M0R0,11,6,accepted,True
E4V3-T3-K11-P4,M0R0,11,7,accepted,True
E4V3-T3-K11-P4,M0R0,11,8,accepted,True
E4V3-T3-K11-P4,M0R0,11,9,accepted,True
E4V3-T3-K11-P4,M0R0,11,10,accepted,True
E4V3-T3-K11-P4,M0R0,11,11,accepted,True
E4V3-T3-K11-P4,M0R0,11,12,accepted,True
E4V3-T3-K11-P4,M0R0,11,13,accepted,True
E4V3-T3-K11-P4,M0R0,11,14,accepted,False
E4V3-T3-K11-P4,M0R0,11,15,accepted,False
E4V3-T3-K11-P4,M0R0,11,16,accepted,True
E4V3-T3-K11-P4,M0R0,11,17,accepted,False
E4V3-T3-K11-P4,M0R0,11,18,accepted,True
E4V3-T3-K11-P4,M0R0,11,19,accepted,True
E4V3-T3-K11-P4,M0R0,11,20,accepted,True
E4V3-T3-K11-P4,M0R0,11,21,not_attempted,False
E4V3-T3-K11-P4,M0R0,11,22,not_attempted,False
E4V3-T3-K11-P4,M0R0,11,23,not_attempted,False
E4V3-T3-K11-P4,M0R0,11,24,not_attempted,False
E4V3-T3-K11-P4,M0R0,11,25,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,1,accepted,True
E4V3-T3-K12-P1,M1R1,12,2,accepted,True
E4V3-T3-K12-P1,M1R1,12,3,accepted,True
E4V3-T3-K12-P1,M1R1,12,4,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,5,accepted,True
E4V3-T3-K12-P1,M1R1,12,6,accepted,True
E4V3-T3-K12-P1,M1R1,12,7,accepted,True
E4V3-T3-K12-P1,M1R1,12,8,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,9,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,10,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,11,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,12,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,13,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,14,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,15,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,16,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,17,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,18,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,19,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,20,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,21,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,22,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,23,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,24,not_attempted,False
E4V3-T3-K12-P1,M1R1,12,25,not_attempted,False
E4V3-T3-K12-P2,M0R0,12,1,accepted,True
E4V3-T3-K12-P2,M0R0,12,2,accepted,True
E4V3-T3-K12-P2,M0R0,12,3,accepted,False
E4V3-T3-K12-P2,M0R0,12,4,accepted,True
E4V3-T3-K12-P2,M0R0,12,5,accepted,True
E4V3-T3-K12-P2,M0R0,12,6,accepted,True
E4V3-T3-K12-P2,M0R0,12,7,accepted,False
E4V3-T3-K12-P2,M0R0,12,8,accepted,True
E4V3-T3-K12-P2,M0R0,12,9,accepted,True
E4V3-T3-K12-P2,M0R0,12,10,accepted,True
E4V3-T3-K12-P2,M0R0,12,11,accepted,True
E4V3-T3-K12-P2,M0R0,12,12,accepted,True
E4V3-T3-K12-P2,M0R0,12,13,accepted,True
E4V3-T3-K12-P2,M0R0,12,14,accepted,False
E4V3-T3-K12-P2,M0R0,12,15,accepted,False
E4V3-T3-K12-P2,M0R0,12,16,accepted,True
E4V3-T3-K12-P2,M0R0,12,17,accepted,False
E4V3-T3-K12-P2,M0R0,12,18,accepted,True
E4V3-T3-K12-P2,M0R0,12,19,accepted,True
E4V3-T3-K12-P2,M0R0,12,20,accepted,True
E4V3-T3-K12-P2,M0R0,12,21,accepted,True
E4V3-T3-K12-P2,M0R0,12,22,accepted,True
E4V3-T3-K12-P2,M0R0,12,23,accepted,True
E4V3-T3-K12-P2,M0R0,12,24,accepted,True
E4V3-T3-K12-P2,M0R0,12,25,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,1,accepted,True
E4V3-T3-K12-P3,M1R0,12,2,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,3,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,4,accepted,True
E4V3-T3-K12-P3,M1R0,12,5,accepted,True
E4V3-T3-K12-P3,M1R0,12,6,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,7,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,8,accepted,True
E4V3-T3-K12-P3,M1R0,12,9,accepted,True
E4V3-T3-K12-P3,M1R0,12,10,accepted,True
E4V3-T3-K12-P3,M1R0,12,11,accepted,True
E4V3-T3-K12-P3,M1R0,12,12,accepted,True
E4V3-T3-K12-P3,M1R0,12,13,accepted,True
E4V3-T3-K12-P3,M1R0,12,14,accepted,False
E4V3-T3-K12-P3,M1R0,12,15,accepted,False
E4V3-T3-K12-P3,M1R0,12,16,accepted,True
E4V3-T3-K12-P3,M1R0,12,17,accepted,False
E4V3-T3-K12-P3,M1R0,12,18,accepted,True
E4V3-T3-K12-P3,M1R0,12,19,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,20,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,21,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,22,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,23,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,24,not_attempted,False
E4V3-T3-K12-P3,M1R0,12,25,not_attempted,False
E4V3-T3-K12-P4,M0R1,12,1,accepted,True
E4V3-T3-K12-P4,M0R1,12,2,accepted,True
E4V3-T3-K12-P4,M0R1,12,3,accepted,False
E4V3-T3-K12-P4,M0R1,12,4,accepted,True
E4V3-T3-K12-P4,M0R1,12,5,accepted,True
E4V3-T3-K12-P4,M0R1,12,6,accepted,True
E4V3-T3-K12-P4,M0R1,12,7,accepted,False
E4V3-T3-K12-P4,M0R1,12,8,accepted,True
E4V3-T3-K12-P4,M0R1,12,9,accepted,True
E4V3-T3-K12-P4,M0R1,12,10,accepted,True
E4V3-T3-K12-P4,M0R1,12,11,accepted,True
E4V3-T3-K12-P4,M0R1,12,12,not_attempted,False
E4V3-T3-K12-P4,M0R1,12,13,accepted,False
E4V3-T3-K12-P4,M0R1,12,14,accepted,False
E4V3-T3-K12-P4,M0R1,12,15,accepted,False
E4V3-T3-K12-P4,M0R1,12,16,accepted,False
E4V3-T3-K12-P4,M0R1,12,17,accepted,False
E4V3-T3-K12-P4,M0R1,12,18,accepted,True
E4V3-T3-K12-P4,M0R1,12,19,accepted,True
E4V3-T3-K12-P4,M0R1,12,20,accepted,True
E4V3-T3-K12-P4,M0R1,12,21,not_attempted,False
E4V3-T3-K12-P4,M0R1,12,22,not_attempted,False
E4V3-T3-K12-P4,M0R1,12,23,not_attempted,False
E4V3-T3-K12-P4,M0R1,12,24,not_attempted,False
E4V3-T3-K12-P4,M0R1,12,25,not_attempted,False
E4V3-T3-K13-P1,M0R0,13,1,accepted,True
E4V3-T3-K13-P1,M0R0,13,2,accepted,True
E4V3-T3-K13-P1,M0R0,13,3,accepted,False
E4V3-T3-K13-P1,M0R0,13,4,accepted,True
E4V3-T3-K13-P1,M0R0,13,5,accepted,True
E4V3-T3-K13-P1,M0R0,13,6,accepted,True
E4V3-T3-K13-P1,M0R0,13,7,accepted,False
E4V3-T3-K13-P1,M0R0,13,8,accepted,True
E4V3-T3-K13-P1,M0R0,13,9,accepted,True
E4V3-T3-K13-P1,M0R0,13,10,accepted,True
E4V3-T3-K13-P1,M0R0,13,11,accepted,True
E4V3-T3-K13-P1,M0R0,13,12,accepted,False
E4V3-T3-K13-P1,M0R0,13,13,accepted,True
E4V3-T3-K13-P1,M0R0,13,14,accepted,False
E4V3-T3-K13-P1,M0R0,13,15,accepted,False
E4V3-T3-K13-P1,M0R0,13,16,accepted,True
E4V3-T3-K13-P1,M0R0,13,17,accepted,False
E4V3-T3-K13-P1,M0R0,13,18,accepted,True
E4V3-T3-K13-P1,M0R0,13,19,accepted,True
E4V3-T3-K13-P1,M0R0,13,20,accepted,True
E4V3-T3-K13-P1,M0R0,13,21,accepted,True
E4V3-T3-K13-P1,M0R0,13,22,accepted,True
E4V3-T3-K13-P1,M0R0,13,23,not_attempted,False
E4V3-T3-K13-P1,M0R0,13,24,not_attempted,False
E4V3-T3-K13-P1,M0R0,13,25,not_attempted,False
E4V3-T3-K13-P2,M0R1,13,1,accepted,True
E4V3-T3-K13-P2,M0R1,13,2,accepted,True
E4V3-T3-K13-P2,M0R1,13,3,accepted,True
E4V3-T3-K13-P2,M0R1,13,4,accepted,True
E4V3-T3-K13-P2,M0R1,13,5,accepted,True
E4V3-T3-K13-P2,M0R1,13,6,accepted,True
E4V3-T3-K13-P2,M0R1,13,7,accepted,True
E4V3-T3-K13-P2,M0R1,13,8,accepted,True
E4V3-T3-K13-P2,M0R1,13,9,accepted,True
E4V3-T3-K13-P2,M0R1,13,10,accepted,True
E4V3-T3-K13-P2,M0R1,13,11,accepted,True
E4V3-T3-K13-P2,M0R1,13,12,accepted,False
E4V3-T3-K13-P2,M0R1,13,13,accepted,True
E4V3-T3-K13-P2,M0R1,13,14,accepted,False
E4V3-T3-K13-P2,M0R1,13,15,accepted,False
E4V3-T3-K13-P2,M0R1,13,16,accepted,True
E4V3-T3-K13-P2,M0R1,13,17,accepted,False
E4V3-T3-K13-P2,M0R1,13,18,accepted,True
E4V3-T3-K13-P2,M0R1,13,19,not_attempted,False
E4V3-T3-K13-P2,M0R1,13,20,not_attempted,False
E4V3-T3-K13-P2,M0R1,13,21,not_attempted,False
E4V3-T3-K13-P2,M0R1,13,22,not_attempted,False
E4V3-T3-K13-P2,M0R1,13,23,not_attempted,False
E4V3-T3-K13-P2,M0R1,13,24,not_attempted,False
E4V3-T3-K13-P2,M0R1,13,25,not_attempted,False
E4V3-T3-K13-P3,M1R1,13,1,accepted,True
E4V3-T3-K13-P3,M1R1,13,2,accepted,True
E4V3-T3-K13-P3,M1R1,13,3,accepted,False
E4V3-T3-K13-P3,M1R1,13,4,accepted,True
E4V3-T3-K13-P3,M1R1,13,5,accepted,True
E4V3-T3-K13-P3,M1R1,13,6,accepted,True
E4V3-T3-K13-P3,M1R1,13,7,accepted,False
E4V3-T3-K13-P3,M1R1,13,8,accepted,True
E4V3-T3-K13-P3,M1R1,13,9,accepted,True
E4V3-T3-K13-P3,M1R1,13,10,accepted,True
E4V3-T3-K13-P3,M1R1,13,11,accepted,True
E4V3-T3-K13-P3,M1R1,13,12,accepted,True
E4V3-T3-K13-P3,M1R1,13,13,accepted,True
E4V3-T3-K13-P3,M1R1,13,14,accepted,True
E4V3-T3-K13-P3,M1R1,13,15,accepted,True
E4V3-T3-K13-P3,M1R1,13,16,accepted,True
E4V3-T3-K13-P3,M1R1,13,17,accepted,False
E4V3-T3-K13-P3,M1R1,13,18,accepted,True
E4V3-T3-K13-P3,M1R1,13,19,accepted,True
