observation_id,condition_code,replicate,run_order,correct_items,submitted_items,attempt_count,provider_calls,prompt_tokens,completion_tokens,total_tokens,model_call_seconds,model_call_minutes,prompt_token_fraction,budget_exception_recorded,budget_exception_attempts,token_crossing_attempts,zero_call_retry,top_level_tokens,top_level_undercount,failed_call_records
E4V3-T3-K11-P3,M0R1,11,11,7,10,2,21,656828,7652,664480,85.238155,1.4206359166666667,0.9884842282687214,True,1,1,False,159109,505371,1
E4V3-T3-K12-P4,M0R1,12,45,12,19,2,31,1031383,10612,1041995,112.568967,1.87614945,0.9898156900944822,True,2,2,False,1041995,0,2
E4V3-T3-K13-P2,M0R1,13,26,14,18,2,29,1021493,16124,1037617,153.607773,2.56012955,0.9844605475816222,True,2,2,False,1037617,0,2
E4V3-T3-K14-P1,M0R1,14,19,8,8,2,19,614250,10619,624869,105.33745499999999,1.7556242499999999,0.9830060380655785,True,1,1,False,102511,522358,1
E4V3-T3-K15-P3,M0R1,15,32,15,18,2,31,1032168,11505,1043673,121.956334,2.0326055666666667,0.988976432273327,True,2,2,False,1043673,0,2
E4V3-T3-K1-P4,M1R0,1,3,21,25,2,30,710085,21854,731939,184.483353,3.0747225499999997,0.9701423206032197,False,0,0,False,731939,0,0
E4V3-T3-K2-P2,M1R0,2,14,21,25,2,30,707952,19986,727938,179.395553,2.9899258833333335,0.9725443650420778,False,0,1,False,727938,0,1
E4V3-T3-K3-P1,M1R0,3,34,21,25,2,24,457881,20798,478679,170.29372899999998,2.8382288166666663,0.9565512587767585,False,0,0,False,478679,0,0
E4V3-T3-K4-P3,M1R0,4,17,21,25,1,15,397529,12723,410252,110.766428,1.8461071333333334,0.9689873541140567,False,0,0,False,410252,0,0
E4V3-T3-K5-P4,M1R0,5,24,19,25,2,23,403858,18656,422514,161.731062,2.6955177000000003,0.9558452500982216,False,0,0,False,422514,0,0
E4V3-T3-K6-P2,M1R0,6,38,0,0,2,16,218083,9422,227505,91.831832,1.5305305333333334,0.9585855255928442,False,0,0,False,227505,0,0
E4V3-T3-K7-P1,M1R0,7,4,10,13,2,20,356654,20646,377300,171.507102,2.8584517000000003,0.9452796183408428,False,0,0,False,377300,0,0
E4V3-T3-K8-P3,M1R0,8,8,23,25,2,25,473323,23643,496966,185.464926,3.0910821,0.9524253168224788,False,0,0,False,496966,0,0
E4V3-T3-K9-P4,M1R0,9,30,23,25,2,23,505264,26887,532151,200.84831499999999,3.347471916666666,0.9494748670959934,False,0,0,False,532151,0,0
E4V3-T3-K10-P2,M1R0,10,41,19,25,1,13,355102,12982,368084,109.289313,1.8214885500000002,0.9647308766477217,False,0,0,False,368084,0,0
E4V3-T3-K11-P1,M1R0,11,10,22,25,2,26,517339,14611,531950,133.282489,2.2213748166666667,0.9725331328132343,False,0,0,False,531950,0,0
E4V3-T3-K12-P3,M1R0,12,44,11,14,2,20,362904,15675,378579,137.272764,2.2878794,0.9585951677192871,False,0,0,False,378579,0,0
E4V3-T3-K13-P4,M1R0,13,27,21,25,2,21,420584,18264,438848,159.026639,2.650443983333333,0.958381945457197,False,0,0,False,438848,0,0
E4V3-T3-K14-P2,M1R0,14,20,13,13,2,18,280363,15233,295596,130.301297,2.1716882833333333,0.9484668263440642,False,0,0,False,295596,0,0
E4V3-T3-K15-P1,M1R0,15,31,11,15,2,16,261476,13831,275307,126.044043,2.1007340500000002,0.9497615389365327,False,0,0,False,275307,0,0
E4V3-T3-K1-P3,M1R1,1,57,17,25,2,29,765657,17273,782930,208.713746,3.478562433333333,0.9779380021202406,False,0,1,False,782930,0,1
E4V3-T3-K2-P4,M1R1,2,49,16,23,2,25,572709,18403,591112,203.852288,3.397538133333333,0.9688671520794706,False,0,0,False,591112,0,0
E4V3-T3-K3-P2,M1R1,3,56,8,8,2,23,623554,23891,647445,235.265414,3.921090233333333,0.9630995683030991,False,0,1,False,647445,0,1
E4V3-T3-K4-P1,M1R1,4,50,14,17,2,19,392895,20186,413081,200.248243,3.3374707166666666,0.9511330707536778,False,0,0,False,413081,0,0
E4V3-T3-K5-P3,M1R1,5,52,21,25,1,14,408871,12488,421359,126.440306,2.1073384333333336,0.9703625649386864,False,0,0,False,421359,0,0
E4V3-T3-K6-P4,M1R1,6,58,21,25,1,12,334856,15123,349979,136.531346,2.2755224333333337,0.9567888359015827,False,0,0,False,349979,0,0
E4V3-T3-K7-P2,M1R1,7,46,23,25,2,21,558442,23354,581796,221.798301,3.69663835,0.9598587821160681,False,0,0,False,581796,0,0
E4V3-T3-K8-P1,M1R1,8,47,13,15,2,22,471079,13740,484819,159.566032,2.659433866666667,0.971659526544958,False,0,0,False,484819,0,0
E4V3-T3-K9-P3,M1R1,9,54,11,17,2,18,384718,18794,403512,203.829304,3.397155066666667,0.9534239378258887,False,0,0,False,403512,0,0
E4V3-T3-K10-P4,M1R1,10,59,0,0,2,14,237183,14585,251768,155.275708,2.587928466666667,0.9420696832004067,False,0,0,False,251768,0,0
E4V3-T3-K11-P2,M1R1,11,48,9,11,2,20,435320,15596,450916,175.468579,2.924476316666667,0.9654126267420096,False,0,0,False,450916,0,0
E4V3-T3-K12-P1,M1R1,12,60,6,6,2,14,236247,11153,247400,114.411622,1.9068603666666666,0.9549191592562651,False,0,0,False,247400,0,0
E4V3-T3-K13-P3,M1R1,13,53,21,25,1,11,297451,11594,309045,113.954032,1.8992338666666666,0.9624844278341342,False,0,0,False,309045,0,0
E4V3-T3-K14-P4,M1R1,14,51,13,16,2,15,289829,12688,302517,140.250779,2.3375129833333332,0.9580585553869699,False,0,0,False,302517,0,0
E4V3-T3-K15-P2,M1R1,15,55,20,24,2,22,518865,18265,537130,198.001134,3.3000189,0.9659951966935378,False,0,0,False,537130,0,0
