cohort,study_version,task,replicate,condition,observation_id,content_score,final_score,delivery_pass,initial_content_score,initial_final_score,workflow_status,score_provenance,source_commit
primary_retrieval,E2T12V2,T2,2,C1,E2S-098BF1C1C371,9,9,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T2,3,C0,E2S-133C8A5A3B9A,8,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T2,3,C1,E2S-E8D686A79B04,9,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T2,4,C0,E2S-1422CEC9A8AD,9,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V2,T2,4,C1,E2S-AC4C25D65E0D,9,9,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,6e7d29b3f220dd4cc639219aa7e765aee88e3988
primary_retrieval,E2T12V3,T2,5,C0,E2S-EF3AEFB212E1,9,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,600e4f253cf4179467a6be9ec09b76edac268706
primary_retrieval,E2T12V3,T2,5,C1,E2S-F02B3BBB35BE,9,9,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,600e4f253cf4179467a6be9ec09b76edac268706
supplementary_architecture,E3V2,T1,1,M0,E3-T1-R1-M0,10,10,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T1,1,M1,E3-T1-R1-M1,8,8,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T1,2,M0,E3-T1-R2-M0,0,0,0,0,0,failed,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T1,2,M1,E3-T1-R2-M1,9,9,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T1,3,M0,E3-T1-R3-M0,8,8,1,9,9,failed,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T1,3,M1,E3-T1-R3-M1,10,10,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T2,1,M0,E3-T2-R1-M0,9,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T2,1,M1,E3-T2-R1-M1,9,9,1,10,10,failed,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T2,2,M0,E3-T2-R2-M0,10,10,1,10,10,succeeded,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T2,2,M1,E3-T2-R2-M1,8,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T2,3,M0,E3-T2-R3-M0,8,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
supplementary_architecture,E3V2,T2,3,M1,E3-T2-R3-M1,9,0,0,9,0,failed,Human scores with user-approved Codex-assisted adjudication,f6d8e7c65510387426ae7f693ca7eda3f7ddfa46
